country,movie_count,total_gross,avg_score
Argentina,16,143779468.0,7.3875
Aruba,1,10319915.0,4.9
Australia,128,4005267129.0,6.6796875
Austria,7,106513736.0,7.085714285714286
The Bahamas,1,48817.0,5.3
Belgium,22,53330126.0,7.1909090909090905
Brazil,8,99504226.0,7.5625
Canada,268,7626917660.0,6.151865671641791
Chile,6,68546889.0,6.883333333333333
China,54,9689760787.0,6.824074074074074
Colombia,2,13923879.0,7.65
Cuba,1,2080805.0,7.5
Denmark,51,409327378.0,7.086274509803921
Finland,5,508519160.0,6.279999999999999
France,420,10271654440.0,6.782380952380952
Germany,196,8390499372.0,6.395408163265306
Greece,6,9447331.0,7.016666666666667
Hong Kong S.A.R.,60,2084136044.0,6.758333333333334
Hungary,11,74165300.0,6.954545454545454
Iceland,2,4547615.0,6.4
India,74,1618881530.0,7.201351351351351
Indonesia,2,15715435.0,7.8
Iran,14,39588664.0,7.892857142857143
Ireland,67,933537849.0,6.8194029850746265
Israel,7,16888181.0,6.542857142857143
Italy,78,722574994.0,6.735897435897436
Jamaica,1,9639390.0,6.2
Japan,110,4577571273.0,7.037272727272727
Kenya,2,6113334.0,7.4
South Korea,41,1382535120.0,7.107317073170731
Lebanon,1,64417003.0,8.4
Libya,1,0.0,8.3
Malta,2,405647300.0,6.9
Mexico,31,494140095.0,6.412903225806452
Netherlands,18,79595437.0,6.838888888888889
New Zealand,33,6699504931.0,7.406060606060606
Norway,16,63907500.0,6.9625
Palestine,1,1452402.0,7.5
Panama,2,9690089.0,6.6
Peru,2,57773461.0,3.55
Philippines,3,1994588.0,6.333333333333333
Poland,4,73796398.0,7.275
Portugal,3,12657405.0,6.533333333333334
North Macedonia,2,1527694.0,8.05
Romania,5,28368667.0,6.9
Russia,12,140997547.0,6.958333333333333
Saudi Arabia,1,1347578.0,7.6
Republic of Serbia,1,652228.0,6.1
South Africa,14,862578826.0,6.228571428571429
Spain,70,1914137343.0,6.982857142857143
Sweden,32,371721194.0,7.296875
Switzerland,12,36896808.0,7.166666666666667
Taiwan,11,296934878.0,7.509090909090909
Thailand,6,52239277.0,6.733333333333333
Turkey,3,11392841.0,7.866666666666667
Ukraine,1,150564.0,7.1
United Arab Emirates,2,177172266.0,6.0
United Kingdom,966,50973069193.0,6.607556935817805
United States of America,6173,499516356843.0,6.221199351701784
Vietnam,2,7457177.0,6.85
